Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,rock,./materials/music/rock.mp3,5,5,5
2,1,ambient,./materials/music/ambient.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,rock,d:\python\music_eeg\materials\music\rock.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,classical,d:\python\music_eeg\materials\music\classical.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,classical,d:\python\music_eeg\materials\music\classical.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
2,1,classical,d:\python\music_eeg\materials\music\classical.mp3,5,5,5
3,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,5,5,5
4,1,rock,d:\python\music_eeg\materials\music\rock.mp3,5,5,5
5,2,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
6,2,classical,d:\python\music_eeg\materials\music\classical.mp3,5,5,5
7,2,rock,d:\python\music_eeg\materials\music\rock.mp3,5,5,5
8,2,ambient,d:\python\music_eeg\materials\music\ambient.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
2,1,classical,d:\python\music_eeg\materials\music\classical.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
2,1,rock,d:\python\music_eeg\materials\music\rock.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,rock,d:\python\music_eeg\materials\music\rock.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,5,5
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,rock,d:\python\music_eeg\materials\music\rock.mp3,7,5,7
2,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,3,6,7
3,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,5,6,6
4,1,classical,d:\python\music_eeg\materials\music\classical.mp3,2,7,7
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,classical,d:\python\music_eeg\materials\music\classical.mp3,1,6,7
2,1,rock,d:\python\music_eeg\materials\music\rock.mp3,9,7,7
3,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,7,7,7
4,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,3,6,7
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,7,8,8
2,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,1,5,9
3,1,rock,d:\python\music_eeg\materials\music\rock.mp3,6,5,3
4,1,classical,d:\python\music_eeg\materials\music\classical.mp3,1,7,8
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,3,7,8
2,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,6,7,7
3,1,rock,d:\python\music_eeg\materials\music\rock.mp3,7,4,2
4,1,classical,d:\python\music_eeg\materials\music\classical.mp3,3,7,8
Trial_Num,Block,Genre,Music_File,Arousal,Valence,Liking
1,1,rock,d:\python\music_eeg\materials\music\rock.mp3,7,5,4
2,1,classical,d:\python\music_eeg\materials\music\classical.mp3,2,7,7
3,1,ambient,d:\python\music_eeg\materials\music\ambient.mp3,2,7,8
4,1,jazz,d:\python\music_eeg\materials\music\jazz.mp3,6,7,8
